profile,metric,recovery_tier,in_registered_family,n_paired,seeds_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_bootstrap_one_sided_true_faster,p_wilcoxon,cliffs_delta,ql_true_faster,q_bootstrap_bh,bh_family_m
lab3_f1dead,RecoveryEpisodes,confirmatory,True,9,seed1;seed2;seed4;seed5;seed6;seed7;seed8;seed9;seed10,174.77777777777777,242.22222222222223,-67.44444444444444,-130.66666666666666,1.1138888888888485,0.0534,0.9738,0.09765625,-0.6296296296296297,True,0.0534,8
lab3_f1inv,RecoveryEpisodes,descriptive,False,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,1537.5,1591.5,-54.0,-651.03,538.3074999999999,0.8606,0.5697,0.76953125,0.14,True,nan,0
lab3_f1dead_z2,RecoveryEpisodes,confirmatory,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,151.3,247.0,-95.7,-141.2025,-55.2,0.0,1.0,0.00390625,-0.84,True,0.0,8
lab3_f1inv_z2,RecoveryEpisodes,descriptive,False,9,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9,1424.5555555555557,1585.2222222222222,-160.66666666666666,-915.1194444444444,567.3333333333334,0.6954,0.6523,0.734375,0.012345679012345678,True,nan,0
lab3_f1bdead,RecoveryEpisodes,confirmatory,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,62.1,488.6,-426.5,-1183.2025,-19.3,0.0012,0.9995,0.02734375,-0.55,True,0.0013714285714285714,8
lab3_f1binv,RecoveryEpisodes,confirmatory,True,9,seed1;seed2;seed4;seed5;seed6;seed7;seed8;seed9;seed10,112.0,1020.8888888888889,-908.8888888888889,-2138.7833333333333,-47.99722222222226,0.0008,0.9996,0.02734375,-0.4691358024691358,True,0.0010666666666666667,8
lab2_f1bdead,RecoveryEpisodes,confirmatory,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,70.8,297.5,-226.7,-328.7,-142.49750000000003,0.0,1.0,0.001953125,-0.92,True,0.0,8
lab2_f1binv,RecoveryEpisodes,descriptive,False,9,seed1;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,290.44444444444446,333.77777777777777,-43.333333333333336,-151.11388888888888,73.89444444444436,0.456,0.7724,0.42578125,-0.3333333333333333,True,nan,0
labmon_f1dead,RecoveryEpisodes,confirmatory,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,53.0,59.2,-6.2,-8.5,-4.2,0.0,1.0,0.001953125,-0.86,True,0.0,8
lab3_f2dead_lowsun,RecoveryEpisodes,confirmatory,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,69.4,134.3,-64.9,-97.30499999999999,-34.4,0.0,1.0,0.00390625,-0.88,True,0.0,8
labmon2_f2dead_lowsun,RecoveryEpisodes,confirmatory,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,218.4,366.9,-148.5,-208.1,-78.69750000000003,0.0,1.0,0.005859375,-0.75,True,0.0,8
lab1_f1dead,DetectEpisode,,False,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,nan,0
lab2_f1dead,DetectEpisode,,False,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,nan,0
lab2_f1inv,DetectEpisode,,False,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,nan,0
lab2_f2dead,DetectEpisode,,False,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,nan,0
lab2_f2inv,DetectEpisode,,False,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,nan,0
lab3_f1dead,DetectEpisode,,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,2.6,1.2,1.4,-0.1,3.0,0.0782,0.0391,0.140625,0.34,False,0.1564,8
lab3_f1inv,DetectEpisode,,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,3.9,0.9,3.0,1.0,5.2,0.0006,0.0003,0.03125,0.53,False,0.0048,8
lab3_f2dead,DetectEpisode,,False,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,nan,0
lab3_f2inv,DetectEpisode,,False,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,nan,0
lab3_f1dead_z2,DetectEpisode,,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,0.9,1.3,-0.4,-1.6,0.8,0.5848,0.7626,0.65625,-0.25,True,0.6092,8
lab3_f1inv_z2,DetectEpisode,,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,0.9,3.9,-3.0,-7.7,-0.2,0.021,0.9956,0.09375,-0.32,True,0.084,8
lab3_f1bdead,DetectEpisode,,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,8.0,6.9,1.1,0.0,2.7,0.2042,0.1021,0.5,0.2,False,0.2730666666666667,8
lab3_f1binv,DetectEpisode,,True,9,seed1;seed2;seed4;seed5;seed6;seed7;seed8;seed9;seed10,7.444444444444445,7.222222222222222,0.2222222222222222,0.0,0.5555555555555556,0.2048,0.1024,0.5,0.1111111111111111,False,0.2730666666666667,8
lab2_f1bdead,DetectEpisode,,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,6.0,6.7,-0.7,-3.2,1.9,0.6092,0.7247,0.6875,-0.19,True,0.6092,8
