profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,avg_cycling,avg_redundant,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab1,ql_false,40,1.0,0.5,1.125,4.425,0.475,0.0,0.475,0,0,0,0,0
lab1,ql_true,40,1.0,0.5,1.125,4.575,0.5,0.0,0.5,0,0,0,0,0
lab1,rule_based,40,1.0,0.5,1.125,4.5,0.475,0.0,0.475,0,0,0,0,0
lab1,training_stereo_false,,,,,,,,,0,0,0,0,0
lab1,training_stereo_true,,,,,,,,,0,0,0,0,0
lab2,ql_false,80,1.0,1.25,4.3125,10.05,1.225,0.5625,1.7875,0,0,0,0,0
lab2,ql_true,80,0.9375,2.5625,8.125,13.5375,2.4625,0.6875,3.15,0,0,0,0,0
lab2,rule_based,80,1.0,0.9375,3.4375,10.075,0.8625,0.25,1.1125,0,0,0,0,0
lab2,training_stereo_false,,,,,,,,,0,0,0,0,0
lab2,training_stereo_true,,,,,,,,,0,0,0,0,0
lab3,ql_false,80,1.0,0.8125,2.4375,12.1125,0.775,0.25,1.025,0,0,0,0,0
lab3,ql_true,80,1.0,0.8125,2.5,10.9,0.7875,0.25,1.0375,0,0,0,0,0
lab3,rule_based,80,1.0,0.8125,2.125,12.225,0.8125,0.25,1.0625,0,0,0,0,0
lab3,training_stereo_false,,,,,,,,,0,0,0,0,0
lab3,training_stereo_true,,,,,,,,,0,0,0,0,0
