profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,avg_cycling,avg_redundant,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab1,ql_false,40,1.0,0.5,1.125,4.375,0.475,0.0,0.475,0,0,0,0,0
lab1,ql_true,40,1.0,0.5,1.125,4.425,0.5,0.0,0.5,0,0,0,0,0
lab1,rule_based,40,1.0,0.5,1.125,4.475,0.45,0.0,0.45,0,0,0,0,0
lab1,training_stereo_false,,,,,,,,,0,0,0,0,0
lab1,training_stereo_true,,,,,,,,,0,0,0,0,0
lab2,ql_false,80,1.0,1.0625,3.75,9.5125,0.95,0.375,1.325,0,0,0,0,0
lab2,ql_true,80,1.0,0.9375,3.4375,9.3875,0.8875,0.25,1.1375,0,0,0,0,0
lab2,rule_based,80,1.0,0.9375,3.4375,9.9,0.875,0.25,1.125,0,0,0,0,0
lab2,training_stereo_false,,,,,,,,,0,0,0,0,0
lab2,training_stereo_true,,,,,,,,,0,0,0,0,0
lab3,ql_false,80,1.0,1.3125,3.6875,12.9375,1.25,0.75,2.0,0,0,0,0,0
lab3,ql_true,80,1.0,1.4375,3.5,15.8625,1.4,0.875,2.275,0,0,0,0,0
lab3,rule_based,80,1.0,0.875,2.1875,12.3875,0.85,0.3125,1.1625,0,0,0,0,0
lab3,training_stereo_false,,,,,,,,,0,0,0,0,0
lab3,training_stereo_true,,,,,,,,,0,0,0,0,0
