profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,avg_cycling,avg_redundant,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab4,ql_false,80,1.0,0.9375,2.9375,11.425,0.925,0.375,1.3,0,0,0,0,0
lab4,ql_true,80,1.0,0.875,2.8125,12.9375,0.8125,0.3125,1.125,0,0,0,0,0
lab4,rule_based,80,1.0,1.125,2.75,12.4125,1.1,0.5625,1.6625,0,0,0,0,0
lab4,training_stereo_false,,,,,,,,,0,0,0,0,0
lab4,training_stereo_true,,,,,,,,,0,0,0,0,0
lab5,ql_false,80,1.0,0.9375,2.375,22.425,0.9125,0.5,1.4125,0,0,0,0,0
lab5,ql_true,80,1.0,0.8125,2.6875,19.05,0.7875,0.375,1.1625,0,0,0,0,0
lab5,rule_based,80,1.0,0.6875,1.9375,17.2375,0.6875,0.25,0.9375,0,0,0,0,0
lab5,training_stereo_false,,,,,,,,,0,0,0,0,0
lab5,training_stereo_true,,,,,,,,,0,0,0,0,0
