profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,avg_cycling,avg_redundant,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab2,ql_false,80,1.0,1.25,4.25,10.4125,1.175,0.5625,1.7375,0,0,0,0,0
lab2,ql_true,80,1.0,1.1875,3.875,10.125,1.05,0.5,1.55,0,0,0,0,0
lab2,rule_based,80,1.0,0.9375,3.4375,10.0125,0.8375,0.25,1.0875,0,0,0,0,0
lab2,training_stereo_false,,,,,,,,,0,0,0,0,0
lab2,training_stereo_true,,,,,,,,,0,0,0,0,0
lab3,ql_false,80,1.0,1.3125,3.5,14.5125,1.25,0.75,2.0,0,0,0,0,0
lab3,ql_true,80,0.9375,2.5,5.25,18.5125,2.3625,1.9375,4.3,0,0,0,0,0
lab3,rule_based,80,1.0,0.875,2.6875,12.4375,0.8,0.3125,1.1125,0,0,0,0,0
lab3,training_stereo_false,,,,,,,,,0,0,0,0,0
lab3,training_stereo_true,,,,,,,,,0,0,0,0,0
