profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,avg_cycling,avg_redundant,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab1,ql_false,40,1.0,0.5,1.125,4.475,0.45,0.0,0.45,0,0,0,0,0
lab1,ql_true,40,1.0,0.5,1.125,4.525,0.475,0.0,0.475,0,0,0,0,0
lab1,rule_based,40,1.0,0.5,1.125,4.25,0.45,0.0,0.45,0,0,0,0,0
lab1,training_stereo_false,,,,,,,,,0,0,0,0,0
lab1,training_stereo_true,,,,,,,,,0,0,0,0,0
lab2,ql_false,80,1.0,1.25,4.4375,10.0875,1.175,0.5625,1.7375,0,0,0,0,0
lab2,ql_true,80,1.0,1.0625,3.5625,10.675,0.9875,0.375,1.3625,0,0,0,0,0
lab2,rule_based,80,1.0,0.9375,3.4375,9.5125,0.9,0.25,1.15,0,0,0,0,0
lab2,training_stereo_false,,,,,,,,,0,0,0,0,0
lab2,training_stereo_true,,,,,,,,,0,0,0,0,0
lab3,ql_false,80,1.0,1.125,2.9375,14.6625,1.0875,0.5625,1.65,0,0,0,0,0
lab3,ql_true,80,0.9375,2.4375,4.875,18.7125,2.325,1.875,4.2,0,0,0,0,0
lab3,rule_based,80,1.0,0.875,2.6875,12.7125,0.8125,0.3125,1.125,0,0,0,0,0
lab3,training_stereo_false,,,,,,,,,0,0,0,0,0
lab3,training_stereo_true,,,,,,,,,0,0,0,0,0
